MERGE	word family: accept	en:accept	word-family tag folded into lemma facet
MERGE	word family: understand	en:understand	word-family tag folded into lemma facet
MERGE	word family: predict	en:predict	word-family tag folded into lemma facet
MERGE	word family: access	en:access	word-family tag folded into lemma facet
MERGE	word family: convert	en:convert	word-family tag folded into lemma facet
MERGE	word family: avoid	en:avoid	word-family tag folded into lemma facet
MERGE	word family: compare	en:compare	word-family tag folded into lemma facet
MERGE	word family: permit	en:permit	word-family tag folded into lemma facet
MERGE	word family: arrive	en:arrive	word-family tag folded into lemma facet
MERGE	word family: approve	en:approve	word-family tag folded into lemma facet
MERGE	word family: refuse	en:refuse	word-family tag folded into lemma facet
MERGE	word family: propose	en:propose	word-family tag folded into lemma facet
MERGE	word family: survive	en:survive	word-family tag folded into lemma facet
MERGE	word family: remove	en:remove	word-family tag folded into lemma facet
MERGE	word family: renew	en:renew	word-family tag folded into lemma facet
MERGE	word family: dismiss	en:dismiss	word-family tag folded into lemma facet
MERGE	word family: free	en:free	word-family tag folded into lemma facet
MERGE	word family: bored	en:bored	word-family tag folded into lemma facet
MERGE	word family: wise	en:wise	word-family tag folded into lemma facet
MERGE	word family: possible	en:possible	word-family tag folded into lemma facet
MERGE	word family: active	en:active	word-family tag folded into lemma facet
MERGE	word family: secure	en:secure	word-family tag folded into lemma facet
MERGE	word family: responsible	en:responsible	word-family tag folded into lemma facet
MERGE	word family: curious	en:curious	word-family tag folded into lemma facet
MERGE	word family: equal	en:equal	word-family tag folded into lemma facet
MERGE	word family: flexible	en:flexible	word-family tag folded into lemma facet
MERGE	word family: available	en:available	word-family tag folded into lemma facet
MERGE	word family: develop	en:develop	word-family tag folded into lemma facet
MERGE	word family: improve	en:improve	word-family tag folded into lemma facet
MERGE	word family: achieve	en:achieve	word-family tag folded into lemma facet
MERGE	word family: agree	en:agree	word-family tag folded into lemma facet
MERGE	word family: govern	en:govern	word-family tag folded into lemma facet
MERGE	word family: move	en:move	word-family tag folded into lemma facet
MERGE	word family: require	en:require	word-family tag folded into lemma facet
MERGE	word family: invest	en:invest	word-family tag folded into lemma facet
MERGE	word family: educate	en:educate	word-family tag folded into lemma facet
MERGE	word family: organize	en:organize	word-family tag folded into lemma facet
MERGE	word family: communicate	en:communicate	word-family tag folded into lemma facet
MERGE	word family: decide	en:decide	word-family tag folded into lemma facet
MERGE	word family: conclude	en:conclude	word-family tag folded into lemma facet
MERGE	word family: discuss	en:discuss	word-family tag folded into lemma facet
MERGE	word family: translate	en:translate	word-family tag folded into lemma facet
MERGE	word family: cloud	en:cloud	word-family tag folded into lemma facet
MERGE	word family: health	en:health	word-family tag folded into lemma facet
MERGE	word family: luck	en:luck	word-family tag folded into lemma facet
MERGE	word family: noise	en:noise	word-family tag folded into lemma facet
MERGE	word family: rain	en:rain	word-family tag folded into lemma facet
MERGE	word family: sun	en:sun	word-family tag folded into lemma facet
MERGE	word family: wind	en:wind	word-family tag folded into lemma facet
MERGE	word family: sleep	en:sleep	word-family tag folded into lemma facet
MERGE	word family: king	en:king	word-family tag folded into lemma facet
MERGE	word family: star	en:star	word-family tag folded into lemma facet
MERGE	word family: martyr	en:martyr	word-family tag folded into lemma facet
MERGE	word family: adult	en:adult	word-family tag folded into lemma facet
MERGE	word family: child	en:child	word-family tag folded into lemma facet
MERGE	word family: mother	en:mother	word-family tag folded into lemma facet
MERGE	word family: father	en:father	word-family tag folded into lemma facet
MERGE	word family: neighbor	en:neighbor	word-family tag folded into lemma facet
MERGE	word family: brother	en:brother	word-family tag folded into lemma facet
MERGE	word family: sister	en:sister	word-family tag folded into lemma facet
MERGE	word family: friend	en:friend	word-family tag folded into lemma facet
MERGE	word family: leader	en:leader	word-family tag folded into lemma facet
MERGE	word family: member	en:member	word-family tag folded into lemma facet
MERGE	word family: champion	en:champion	word-family tag folded into lemma facet
MERGE	word family: owner	en:owner	word-family tag folded into lemma facet
MERGE	word family: partner	en:partner	word-family tag folded into lemma facet
