9q3ezcaa3k	parar de [hacer algo]	to stop [doing something]	supporting	audit:reviewed	Audit: fine as-is.
tef3nelk2n	acabar de [hacer algo]	to finish [doing something]	supporting	audit:reviewed	Audit: fine as-is.
vm27w6wl2u	acabar de [hacer algo]	to have just [done something]	supporting	audit:reviewed	Audit: fine as-is.
jx3qdoooew	acababa de [hacer algo]	to have just [done something]	reference	audit:reviewed	Audit: fine as-is.
yfjyb31b9b	dejar de [hacer algo]	to stop [doing something]	core	audit:reviewed	Audit: fine as-is.
skfxdss0cs	dejar de [hacer algo]	to no longer [do something]	reference	audit:reviewed	Audit: fine as-is.
0yil0wwbgv	echar de menos a [alguien]	to miss [somebody]	reference	audit:reviewed	Audit: fine as-is.
5fylm54n8s	de [un lugar]	from a place	reference	audit:reviewed	Audit: fine as-is.
n19h8scdqx	¿de qué [ocurre algo]?	what [does something happen] about?	reference	audit:reviewed	Audit: fine as-is.
5o20evhiuo	una taza de café	a cup of coffee	reference	audit:reviewed	Audit: fixed placeholder example (it was just the headword repeated).	Quiero una taza de café, por favor.	I want a cup of coffee, please.
cl9enr8dnn	el nombre de la tienda	the name of the store	reference	audit:reviewed	Audit: fixed placeholder example.	No recuerdo el nombre de la tienda.	I don't remember the name of the store.
5jt6lj2ulg	leche de chocolate	chocolate milk	reference	audit:reviewed	Audit: fixed placeholder example.	A los niños les encanta la leche de chocolate.	Kids love chocolate milk.
gn8k8hwnce	chocolate de leche	milk chocolate	reference	audit:reviewed	Audit: fixed placeholder example.	Prefiero el chocolate de leche al chocolate negro.	I prefer milk chocolate to dark chocolate.
ray0xga2me	taza de café	coffee cup	reference	audit:reviewed	Audit: fixed placeholder example.	Rompí la taza de café esta mañana.	I broke the coffee cup this morning.
h85lbubyqe	taza de café	cup of coffee	reference	audit:reviewed	Audit: fixed placeholder example.	Tomé una taza de café antes de salir.	I had a cup of coffee before leaving.
5rr4zebvp7	[hacer algo] de [una emoción]	to [do something] with [an emotion]	reference	audit:reviewed	Audit: fine as-is.
wine5n6gd9	depender de que [ocurra algo]	to depend on [something] happening	reference	audit:reviewed	Audit: fine as-is.
27gxfb0ajj	depender de [alguien/algo]	to depend on [somebody/something]	reference	audit:reviewed	Audit: fine as-is.
rgpsxhe7h3	caer en cuenta de que [algo sucede]	to realize that [something happens]	reference	audit:reviewed	Audit: fine as-is.
h79dh4z5r9	en un lugar	at a place	reference	audit:reviewed	Audit: fixed placeholder example (entire facet was just the headword repeated as its "example").	Nos vemos en un lugar cerca de aquí.	We'll meet at a place near here.
hx0to60nd6	en la tienda	at the store	reference	audit:reviewed	Audit: fixed placeholder example.	Ana trabaja en la tienda.	Ana works at the store.
zqynuesp7m	en la oficina	at the office	reference	audit:reviewed	Audit: fixed placeholder example.	Estoy en la oficina.	I am at the office.
almn931bqf	en el apartamento	at the apartment	reference	audit:reviewed	Audit: fixed placeholder example.	Nos vemos en el apartamento.	We'll meet at the apartment.
ljeh77mbs7	en el parque	at the park	reference	audit:reviewed	Audit: fixed placeholder example.	Los niños juegan en el parque.	The kids are playing at the park.
19blsp2ne3	en el aeropuerto	at the airport	reference	audit:reviewed	Audit: fixed placeholder example.	Te espero en el aeropuerto.	I'll wait for you at the airport.
xbx1b5duuw	en el evento	at the event	reference	audit:reviewed	Audit: fixed placeholder example.	Nos vimos en el evento.	We saw each other at the event.
ih376hqi1w	en Colombia	in Colombia	reference	audit:reviewed	Audit: fixed placeholder example.	Vivo en Colombia.	I live in Colombia.
ri2h5v0twz	en Bogotá	in Bogotá	reference	audit:reviewed	Audit: fixed placeholder example.	Nací en Bogotá.	I was born in Bogotá.
tc6rh28m6b	en Rosales	in Rosales	reference	audit:reviewed	Audit: fixed placeholder example.	Vivimos en Rosales.	We live in Rosales.
kxv8nlgxdq	en el país	in the country	reference	audit:reviewed	Audit: fixed placeholder example.	Hay muchas ciudades en el país.	There are many cities in the country.
w7xxmnwso7	en la ciudad	in the city	reference	audit:reviewed	Audit: fixed placeholder example.	Vivo en la ciudad.	I live in the city.
espvuux5lh	en el barrio	in the neighborhood	reference	audit:reviewed	Audit: fixed placeholder example.	Hay un parque en el barrio.	There is a park in the neighborhood.
0btyqoea32	dentro de un lugar	in a place	reference	audit:reviewed	Audit: fixed placeholder example.	Guardé el dinero dentro de un lugar seguro.	I kept the money in a safe place.
9nmv4gc74l	en el apartamento	in the apartment	reference	audit:reviewed	Audit: fixed placeholder example.	Hay muchas cajas en el apartamento.	There are many boxes in the apartment.
vlo817grkx	en el baño	in the bathroom	reference	audit:reviewed	Audit: fixed placeholder example.	Las toallas están en el baño.	The towels are in the bathroom.
nchk5z9l4b	en el carro	in the car	reference	audit:reviewed	Audit: fixed placeholder example.	Dejé las llaves en el carro.	I left the keys in the car.
1pnnl3ovji	en el bolso	in the bag	reference	audit:reviewed	Audit: fixed placeholder example.	Tengo las llaves en el bolso.	I have the keys in the bag.
n9t5c2brnx	en una superficie	on a surface	reference	audit:reviewed	Audit: fixed placeholder example.	Coloca el jarrón en una superficie plana.	Place the vase on a flat surface.
jfphg18mwh	sobre la mesa	on the table	reference	audit:reviewed	Audit: fixed placeholder example.	Las llaves están sobre la mesa.	The keys are on the table.
mlegy7ee73	en el piso	on the floor	reference	audit:reviewed	Audit: fixed placeholder example.	Los zapatos están en el piso.	The shoes are on the floor.
bpf1cuta59	en una página web	on a webpage	reference	audit:reviewed	Audit: fixed placeholder example.	La información está en una página web.	The information is on a webpage.
