# Level 1 spine (docs/curation/level-1.md), 2026-09-15. Format: concept id, new role, rationale. Only rows that were Unranked; hand-set levels untouched.
hh9lhwdnn0	P1	Level 1 spine (docs/curation/level-1.md): hablar sin pronombre de sujeto → to speak (subject dropped)
608c3yq7i6	P1	Level 1 spine (docs/curation/level-1.md): tú → you
d6oilpcif8	P1	Level 1 spine (docs/curation/level-1.md): usted → you
i5ji4776n8	P1	Level 1 spine (docs/curation/level-1.md): mi → my
ozvruwn0tu	P1	Level 1 spine (docs/curation/level-1.md): mis → my
63ojew9r4f	P1	Level 1 spine (docs/curation/level-1.md): tu → your
7gl5vz7uo4	P1	Level 1 spine (docs/curation/level-1.md): tus → your
ovnw5edm1p	P1	Level 1 spine (docs/curation/level-1.md): con → with
dyi2yg06hb	P1	Level 1 spine (docs/curation/level-1.md): para mí → for me
sqd8xxfwmx	P1	Level 1 spine (docs/curation/level-1.md): para ti → for you
wwwc8jugby	P1	Level 1 spine (docs/curation/level-1.md): tener [algo] → to have [something]
7s7vnrgxud	P1	Level 1 spine (docs/curation/level-1.md): tener que [hacer algo] → to have to [do something]
9jt3xxrxse	P1	Level 1 spine (docs/curation/level-1.md): gustaría [hacer algo] → would like to [do something]
fr2zv8cgr5	P1	Level 1 spine (docs/curation/level-1.md): gustaría [algo] → would like [something]
1uo0obtd8h	P1	Level 1 spine (docs/curation/level-1.md): gustarle [algo] a [alguien] → [somebody] likes [something]
mowb8a6hvx	P1	Level 1 spine (docs/curation/level-1.md): gustarle [hacer algo] a [alguien] → [somebody] likes to [do something]
manx93glfl	P1	Level 1 spine (docs/curation/level-1.md): saber que [algo] → to know that [something]
ahq54carab	P1	Level 1 spine (docs/curation/level-1.md): saber si [algo] → to know whether [something]
lr3gy47etf	P1	Level 1 spine (docs/curation/level-1.md): querer saber si [alguien] [hace algo] → to want to know if [somebody] [does something]
0zuw37lnfv	P1	Level 1 spine (docs/curation/level-1.md): poder [hacer algo] (capacidad) → can [do something]
nqyror4j5f	P1	Level 1 spine (docs/curation/level-1.md): estar [en un estado] → to be [in a state]
obf74hel79	P1	Level 1 spine (docs/curation/level-1.md): estar [en un lugar] → to be [in a place]
38d1kfif1b	P1	Level 1 spine (docs/curation/level-1.md): ir a [hacer algo] → to be going [to do something]
k9y5vq9p06	P1	Level 1 spine (docs/curation/level-1.md): ir a casa → to go home
nuo847x66j	P1	Level 1 spine (docs/curation/level-1.md): hay [algo singular] → there is [something singular]
54mbh87vk1	P1	Level 1 spine (docs/curation/level-1.md): hay [cosas plurales] → there are [plural things]
cp5hmttaq2	P1	Level 1 spine (docs/curation/level-1.md): hay [algo singular] → there's [something singular]
qt9aqatj4f	P1	Level 1 spine (docs/curation/level-1.md): hacer → to do
v6srxq2n55	P1	Level 1 spine (docs/curation/level-1.md): hacer → do
m9dfm9pbq2	P1	Level 1 spine (docs/curation/level-1.md): hacer [algo creado o preparado] → to make [something]
laabqgv17t	P1	Level 1 spine (docs/curation/level-1.md): ello → it
qxku96zu9e	P1	Level 1 spine (docs/curation/level-1.md): y → and
eiiegq2s5o	P1	Level 1 spine (docs/curation/level-1.md): o → or
s08z927piv	P1	Level 1 spine (docs/curation/level-1.md): pero → but
9qaylitnlb	P1	Level 1 spine (docs/curation/level-1.md): que (cláusula) → that
71u0miv5rm	P1	Level 1 spine (docs/curation/level-1.md): cuando (conector) → when
u109gx9ehn	P1	Level 1 spine (docs/curation/level-1.md): así que → so
rakstubyz7	P1	Level 1 spine (docs/curation/level-1.md): entonces → then
gdwcgcevlo	P1	Level 1 spine (docs/curation/level-1.md): aquí → here
wyrj7k8thq	P1	Level 1 spine (docs/curation/level-1.md): allí → there
uklvuftocv	P1	Level 1 spine (docs/curation/level-1.md): mañana → tomorrow
44tis0284q	P1	Level 1 spine (docs/curation/level-1.md): ahora → now
fv4tu6n5s9	P1	Level 1 spine (docs/curation/level-1.md): más tarde → later
8aag559cpt	P1	Level 1 spine (docs/curation/level-1.md): siempre → always
neo7bdruvy	P1	Level 1 spine (docs/curation/level-1.md): muy [adjetivo] → very [adjective]
11lmznqkb7	P1	Level 1 spine (docs/curation/level-1.md): tan [adjetivo] → so [adjective]
szn7fm8wsx	P1	Level 1 spine (docs/curation/level-1.md): [hacer algo] mucho → to [do something] a lot
foy4696l7r	P1	Level 1 spine (docs/curation/level-1.md): el → the
qdyg6idr5p	P1	Level 1 spine (docs/curation/level-1.md): la → the
u7zp2lujp0	P1	Level 1 spine (docs/curation/level-1.md): los → the
4j1nc0c9o9	P1	Level 1 spine (docs/curation/level-1.md): las → the
8jv3otkqa7	P1	Level 1 spine (docs/curation/level-1.md): un → a
zravwibucz	P1	Level 1 spine (docs/curation/level-1.md): una → a
8xn53vk9eu	P1	Level 1 spine (docs/curation/level-1.md): unos → some
0tty2mfina	P1	Level 1 spine (docs/curation/level-1.md): este → this
7hfg12h8br	P1	Level 1 spine (docs/curation/level-1.md): esta → this
6cnielk682	P1	Level 1 spine (docs/curation/level-1.md): esto → this
dt2cwfu58n	P1	Level 1 spine (docs/curation/level-1.md): ese → that
19ebbd6l4z	P1	Level 1 spine (docs/curation/level-1.md): esa → that
tvm9cf1n1l	P1	Level 1 spine (docs/curation/level-1.md): eso → that
m7x949wtjj	P1	Level 1 spine (docs/curation/level-1.md): más [sustantivo] → more [noun]
othawv9u0f	P1	Level 1 spine (docs/curation/level-1.md): ser [identidad] → to be [an identity]
46elg5u15i	P1	Level 1 spine (docs/curation/level-1.md): [ser] [adjetivo] → [to be] [adjective]
2z3yhpg9ve	P1	Level 1 spine (docs/curation/level-1.md): ser de [un lugar] → to be from [a place]
