439x0r7xja	pedir un deseo	to make a wish	reference	topic:collocation|coll:make	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
gb1zklln37	tomar una decisión	to make a decision	supporting	topic:collocation|coll:make	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
mu7bumpulx	hacer un esfuerzo	to make an effort	reference	topic:collocation|coll:make	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
53ak6stp8u	ganarse la vida	to make a living	reference	topic:collocation|coll:make	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
kdt4ocawe0	pedir una cita con [alguien]	to make an appointment with [somebody]	reference	topic:collocation|coll:make	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
wlsh5f0c4u	hacer una reserva	to make a reservation	supporting	topic:collocation|coll:make	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
1vzkonyjt2	hacer una llamada	to make a call	reference	topic:collocation|coll:make	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
hm7k1xxksu	hacer una sugerencia	to make a suggestion	reference	topic:collocation|coll:make	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
977cxas6wl	marcar la diferencia	to make a difference	reference	topic:collocation|coll:make	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
tc6g9iudcp	tomar una foto de [algo]	to take a photo of [something]	reference	topic:collocation|coll:take	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
edcjj9goei	hacer un viaje	to take a trip	reference	topic:collocation|coll:take	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
mhpsjzbw88	echar un vistazo a [algo]	to take a look at [something]	supporting	topic:collocation|coll:take	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
c38n8crr5a	sacar una foto de [algo]	to take a photo of [something]	supporting	topic:collocation|coll:take	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
g5nlbifpst	tardar	to take a long time	reference	topic:collocation|coll:take	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
1wrulf5p6q	correr un riesgo	to take a risk	reference	topic:collocation|coll:take	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
szfqmpo1uv	pasarla bien	to have a good time	supporting	topic:collocation|coll:have	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
subaw4lf2e	pasarla mal	to have a bad time	reference	topic:collocation|coll:have	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
8w5qasxh42	pasarla muy bien	to have a great time	reference	topic:collocation|coll:have	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
ankhn3gvu6	costarle trabajo a [alguien] [hacer algo]	to have a hard time [doing something]	reference	topic:collocation|coll:have	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
swig6imniy	tener dolor de [algo]	to have an ache in [something]	reference	topic:collocation|coll:have	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
xy9ovfmmwc	poner la mesa	to set the table	reference	topic:collocation|coll:set	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
vuz1ghifyr	fijarse una meta	to set a goal	reference	topic:collocation|coll:set	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
dh16jcovbo	poner una alarma para [una hora]	to set an alarm for [a time]	reference	topic:collocation|coll:set	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
tyej3rsl7u	ponerle un precio a [algo]	to set a price for [something]	reference	topic:collocation|coll:set	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
r97jh0nzir	poner una fecha para [algo]	to set a date for [something]	reference	topic:collocation|coll:set	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
ed3n0mj0i5	sentar un precedente	to set a precedent	reference	topic:collocation|coll:set	New Collocations topic page — verb+noun pairings English speakers must memorize (make an effort, take a risk, have a good time, set an alarm).		
