yy9028sj68	sin falta	without fail	reference	topic:expression	Topic-coverage audit: genuine fixed idiom/expression with no pos:/topic: tag; folded into the existing Expressions page.		
95502xpq2y	cueste lo que cueste	whatever it takes	reference	topic:expression	Topic-coverage audit: genuine fixed idiom/expression with no pos:/topic: tag; folded into the existing Expressions page.		
a6vkntbt36	entre todos	together, all together	reference	topic:expression	Topic-coverage audit: genuine fixed idiom/expression with no pos:/topic: tag; folded into the existing Expressions page.		
84ep3pyukv	el mismo día	the same day	reference	topic:expression	Topic-coverage audit: genuine fixed idiom/expression with no pos:/topic: tag; folded into the existing Expressions page.		
97h5zo76ab	más vale tarde que nunca	better late than never	reference	topic:expression	Topic-coverage audit: genuine fixed idiom/expression with no pos:/topic: tag; folded into the existing Expressions page.		
lo8hzzt4fm	¡Ya basta!	Enough already!	reference	topic:expression	Topic-coverage audit: genuine fixed idiom/expression with no pos:/topic: tag; folded into the existing Expressions page.		
86ogukorla	igual	maybe (coloquial)	reference	topic:expression	Topic-coverage audit: genuine fixed idiom/expression with no pos:/topic: tag; folded into the existing Expressions page.		
56dupg98qa	¡abajo [algo]!	down with [something]!	reference	topic:expression	Topic-coverage audit: genuine fixed idiom/expression with no pos:/topic: tag; folded into the existing Expressions page.		
cncdjpkngf	me extraña que [ocurra algo]	I find it strange that [something happens]	reference	topic:expression	Topic-coverage audit: genuine fixed idiom/expression with no pos:/topic: tag; folded into the existing Expressions page.		
khu76rod2i	lo peor es [hacer algo]	the worst part is [doing something]	reference	topic:expression	Topic-coverage audit: genuine fixed idiom/expression with no pos:/topic: tag; folded into the existing Expressions page.		
ifurkwv06w	me llamo [nombre]	my name is [name]	supporting	topic:expression	Topic-coverage audit: genuine fixed idiom/expression with no pos:/topic: tag; folded into the existing Expressions page.		
vk5arw3nk6	sí	yes	reference	pos:interjection|topic:expression	Topic-coverage audit: basic response word with no pos:/topic: tag; matches the existing pos:interjection convention (genial -> great) and surfaces on Expressions since interjection has no page of its own.		
leowvp7a8n	estudiar ==> estudia	to study ==> studies	reference	pos:verb	Topic-coverage audit: row was missing its pos: tag entirely.		
qg82ypat4e	tratar ==> trata	to try ==> tries	reference	pos:verb	Topic-coverage audit: row was missing its pos: tag entirely.		
v7ltrzxban	intentar ==> intenta	to try ==> tries	reference	pos:verb	Topic-coverage audit: row was missing its pos: tag entirely.		
3f5fh22xm8	[algo] pesa [una cantidad]	[something] weighs [an amount]	reference	pos:verb	Topic-coverage audit: row was missing its pos: tag entirely.		
sfunx9o2ea	el espacio exterior	outer space	reference	pos:noun	Topic-coverage audit: row was missing its pos: tag entirely.		
4465jxo8rw	ex [cargo]	former [role]	reference	pos:adjective	Topic-coverage audit: row was missing its pos: tag entirely.		
